exp_id	commit	parent1	parent2	val_bpb	memory_gb	params_m	status	mutation_kind	description
exp0019	f489c47	elite/0	-	0.989744	43.9	50.3	discard	mutate	WARMUP_RATIO 0 -> 0.02 from elite/0 (small warmup hurts)
exp0020	b497565	elite/0	-	0.989304	43.9	50.3	discard	mutate	ADAM_BETAS (0.8,0.95)->(0.9,0.95) from elite/0 (slight regress)
exp0021	6abbb33	elite/1	elite/0	1.035312	26.5	26.3	discard	crossover	elite/0 + DEPTH 8 -> 6 (smaller model, much worse quality)
exp0022	59a5293	elite/0	-	0.989040	43.9	50.3	discard	mutate	WARMDOWN_RATIO 0.5 -> 0.4 from elite/0 (slight regress)
exp0023	164c9eb	elite/0	-	0.988664	43.9	50.3	discard	mutate	WINDOW_PATTERN SSSL -> L from elite/0 (~tied, MFU 43%)
exp0024	01a7993	elite/1	elite/0	0.985635	53.7	60.8	elite	crossover	elite/0 + DEPTH 8->10 (constant model_dim=512 via AR=51)
exp0025	1636efd	elite/0	-	0.987270	63.6	71.3	discard	mutate	DEPTH 10 -> 12, AR 51 -> 42 (DEPTH=10 was optimum)
exp0026	39327c5	elite/1	elite/0	0.986453	53.7	60.8	discard	crossover	elite/0 + ULR 0.016 -> 0.020 (still overshoots at depth=10)
exp0027	e5495d8	elite/0	-	0.987835	53.7	60.8	discard	mutate	MATRIX_LR 0.04 -> 0.05 from elite/0 (depth=10, still hurts)
exp0028	8d8256e	elite/0	-	0.987737	66.2	85.9	discard	mutate	AR 51 -> 64 (model_dim 512 -> 640) at depth=10 (undertrained)
exp0029	11d4cf3	elite/1	elite/0	0.992102	27.1	60.8	discard	crossover	elite/0 + TOTAL=2**17, DB=64 (smaller batch hurts at depth=10 too)
exp0030	c07c56b	elite/0	-	0.987808	53.7	60.8	discard	mutate	WEIGHT_DECAY 0.2 -> 0.3 from elite/0 (more reg hurts)
exp0031	927cf74	elite/0	-	0.986936	48.9	57.7	discard	mutate	DEPTH 10 -> 9, AR 51 -> 56 (in between, depth=10 still best)
exp0032	da41ffe	elite/1	elite/0	0.986214	53.7	60.8	discard	crossover	elite/0 + ULR 0.016 -> 0.014 (0.016 optimum confirmed)
exp0033	958730e	elite/0	-	0.986346	63.8	71.3	discard	mutate	MLP ratio 4x -> 6x from elite/0 (undertrained)
exp0034	73614e4	elite/0	-	0.988661	48.7	55.6	discard	mutate	MLP ratio 4x -> 3x from elite/0 (capacity loss > step gain)
exp0035	0eea4eb	elite/1	elite/0	0.989265	49.2	47.7	discard	crossover	elite/0 + GQA n_kv_head 4 -> 2 (capacity loss in VEs and KV)
exp0036	1640f58	elite/0	-	0.986792	53.7	60.8	discard	mutate	SCALAR_LR 0.5 -> 0.3 from elite/0 (slight regress)
exp0037	efa3fe3	elite/0	-	0.986136	53.7	60.8	discard	mutate	ULR 0.016 -> 0.018 from elite/0 (0.016 confirmed optimum)
exp0038	b91d037	elite/1	elite/0	0.988051	53.7	60.8	discard	crossover	elite/0 + softcap 15 -> 30 (looser cap hurts)
exp0039	e298612	elite/0	-	0.992487	53.8	60.8	discard	mutate	HEAD_DIM 128 -> 64 (8 heads vs 4) hurts a lot
exp0040	0501cb8	elite/0	-	0.985440	53.7	60.8	elite	mutate	ve_gate_channels 32 -> 64 (slight improvement)
exp0041	72a39e7	elite/0	-	0.988855	53.7	60.8	discard	mutate	ve_gate_channels 64 -> 128 (overshoots, 64 optimum)
exp0042	3509e52	elite/0	-	0.987199	53.7	60.8	discard	mutate	x0_lambdas init 0.1 -> 0.0 from elite/0 (x0 init=0.1 useful)
exp0043	78c326d	elite/1	elite/0	0.997593	52.3	39.8	discard	crossover	elite/0 + disable VEs (has_ve=False) (VEs essential)
exp0044	4a8c619	elite/0	-	0.985815	53.7	60.8	discard	mutate	lm_head init std 0.001 -> 0.01 from elite/0 (slight regress)
exp0045	6bfd5a4	elite/0	-	0.986982	53.7	60.8	discard	mutate	EMBEDDING_LR 0.6 -> 0.4 from elite/0 (regress)
exp0046	3ba2a75	elite/1	elite/0	1.009678	53.9	60.8	discard	crossover	elite/0 + TOTAL=786432 (between 2^18 and 2^19) - undertrained
exp0047	f017463	elite/0	-	0.986015	53.7	60.8	discard	mutate	x0_lambdas init 0.1 -> 0.2 (slight regress, 0.1 optimum)
exp0048	ce8ba91	elite/0	-	0.995306	53.7	60.8	discard	mutate	Muon momentum end 0.95 -> 0.99 (much worse)
exp0049	b4675f4	elite/0	-	0.986032	53.7	60.8	discard	mutate	Muon momentum end 0.95 -> 0.92 (slight regress, 0.95 optimum)
exp0050	f2bf586	elite/1	elite/0	0.984695	53.7	60.8	elite	crossover	elite/0 + WARMDOWN_RATIO 0.5 -> 0.6 (longer cooldown helps, new best)
exp0051	6b8329b	elite/0	-	0.984035	53.7	60.8	elite	mutate	WARMDOWN_RATIO 0.6 -> 0.7 from elite/0 (new best)
exp0052	b099552	elite/0	-	0.984225	53.7	60.8	discard	mutate	WARMDOWN_RATIO 0.7 -> 0.8 (slight regress, 0.7 optimum)
exp0053	4911465	elite/1	elite/0	0.984883	53.7	60.8	discard	crossover	elite/0 + ULR 0.016 -> 0.018 (0.016 still optimum)
exp0054	b73cc1e	elite/0	-	0.985152	58.8	68.2	discard	mutate	DEPTH 10 -> 11, AR 51 -> 46 from elite/0 (depth=10 still optimum)
exp0055	f1745ad	elite/0	-	0.985464	53.7	60.8	discard	mutate	MATRIX_LR 0.04 -> 0.045 from elite/0 (still 0.04 optimum)
exp0056	f125d90	elite/1	elite/0	0.984062	53.7	60.8	discard	crossover	elite/0 + WARMDOWN 0.7 -> 0.75 (essentially tied with 0.7)
exp0057	a6256e1	elite/0	-	0.984081	53.7	60.8	discard	mutate	FINAL_LR_FRAC 0.0 -> 0.05 from elite/0 (essentially tied)
exp0058	3972151	elite/0	-	0.992488	53.7	60.8	discard	mutate	HEAD_DIM 128 -> 256 (2 wider heads, much worse)
exp0059	8d09c08	elite/1	elite/0	0.985937	53.7	60.8	discard	crossover	elite/0 + EMBEDDING_LR 0.6 -> 0.7 (slight regress)
exp0060	c656b36	elite/0	-	0.985995	53.7	60.8	discard	mutate	rotary base 10000 -> 50000 (slight regress)
exp0061	4dc58b9	elite/0	-	0.989807	53.7	60.8	discard	mutate	rotary base 10000 -> 1000 (much worse)
exp0062	cee4efd	elite/1	elite/0	0.985700	53.7	60.8	discard	crossover	elite/0 + SCALAR_LR 0.5 -> 0.7 (slight regress)
exp0063	c7a56b6	elite/0	-	0.984174	53.7	60.8	discard	mutate	MATRIX_LR 0.04 -> 0.035 (essentially tied, keep simpler 0.04)
exp0064	9c7eaea	elite/0	-	0.984445	53.7	60.8	discard	mutate	Muon beta2 0.95 -> 0.99 (slight regress)
exp0065	28c6343	elite/1	elite/0	0.984230	53.7	60.8	discard	crossover	elite/0 + Muon beta2 0.95 -> 0.9 (tied)
exp0066	057393e	elite/0	-	0.986155	53.7	60.8	discard	mutate	softcap 15 -> 10 (slight regress)
exp0067	877648f	elite/0	-	0.985460	53.7	60.8	discard	mutate	ULR 0.016 -> 0.014 with WARMDOWN=0.7 (slight regress)
exp0068	3e5cc96	elite/1	elite/0	0.986503	66.2	85.9	discard	crossover	elite/0 + AR 51->64 (model_dim=640) + ULR 0.016->0.012 (still undertrained)
exp0069	675b1c5	elite/0	-	0.984627	53.7	60.8	discard	mutate	ADAM_BETAS (0.8,0.95)->(0.85,0.95) (slight regress)
exp0070	7bec5be	elite/0	-	0.984850	53.7	60.8	discard	mutate	AdamW eps 1e-10 -> 1e-8 (slight regress)
exp0071	5f7c996	elite/1	elite/0	0.985742	53.7	60.8	discard	crossover	elite/0 + short_window 1024 -> 1536 (slight regress)
exp0072	6d44c64	elite/0	-	0.982218	53.7	60.8	elite	mutate	short_window 1024 -> 512 from elite/0 (NEW BEST, less cross-doc attention noise)
exp0073	7200bb4	elite/0	-	0.981356	53.7	60.8	elite	mutate	short_window 512 -> 256 from elite/0 (new best)
exp0074	c5cfae9	elite/0	-	0.981772	53.7	60.8	discard	mutate	short_window 256 -> 128 (slight regress, 256 optimum)
exp0075	62df63c	elite/1	elite/0	0.981523	53.7	60.8	discard	crossover	elite/0 + short_window 256 -> 384 (slight regress, 256 stays)
exp0076	4c43e50	elite/0	-	0.982341	58.8	68.2	discard	mutate	DEPTH 10 -> 11 with short=256 (depth=10 still optimum)
exp0077	8347cd9	elite/0	-	0.981897	53.7	60.8	discard	mutate	ULR 0.016 -> 0.018 with short=256 (slight regress)
exp0078	0b153e1	elite/1	elite/0	0.982660	53.7	60.8	discard	crossover	elite/0 + MATRIX_LR 0.04 -> 0.05 with short=256 (slight regress)
exp0079	45f0048	elite/0	-	0.980832	63.6	71.3	elite	mutate	DEPTH 10 -> 12, AR 51 -> 42 with short=256 (NEW BEST, deeper helps with smaller window)
exp0080	6ffe4e4	elite/0	-	0.983743	73.4	81.8	discard	mutate	DEPTH 12 -> 14 with short=256 (undertrained at 1172 steps)
exp0081	5baa221	elite/1	elite/0	0.984364	68.6	78.6	discard	crossover	elite/0 + DEPTH 12 -> 13 (slight regress, 12 firmly best)
exp0082	e48c7f5	elite/0	-	0.980502	63.6	71.3	elite	mutate	short_window 256 -> 128 with DEPTH=12 (new best)
exp0083	e433e80	elite/0	-	0.980777	63.6	71.3	discard	mutate	short_window 128 -> 64 (slight regress, 128 optimum)
exp0084	b2ceccc	elite/1	elite/0	0.981892	63.6	71.3	discard	crossover	elite/0 + MATRIX_LR 0.04 -> 0.045 (slight regress)
exp0085	0cfab2f	elite/0	-	0.982376	73.4	81.8	discard	mutate	DEPTH 12 -> 14 with short=128 (still undertrained)
exp0086	04b2182	elite/0	-	0.982373	63.6	71.3	discard	mutate	ULR 0.016 -> 0.020 with new config (slight regress)
exp0087	df5438b	elite/1	elite/0	0.981878	32.1	71.3	discard	crossover	elite/0 + TOTAL=2**17, DB=64 (slight regress, 2**18 stays)
exp0088	6efff5e	elite/0	-	0.981091	63.6	71.3	discard	mutate	WARMDOWN 0.7 -> 0.6 with new arch (slight regress)
exp0089	01e188e	elite/0	-	0.980328	63.6	71.3	elite	mutate	WARMDOWN 0.7 -> 0.8 with new arch (marginal new best)
exp0090	e17f917	elite/0	-	0.980452	63.6	71.3	discard	mutate	WARMDOWN 0.8 -> 0.9 (slight regress, 0.8 optimum)
exp0091	c10dc47	elite/1	elite/0	0.980703	63.6	71.3	discard	crossover	elite/0 + EMBEDDING_LR 0.6 -> 0.8 (slight regress)
exp0092	dc9eb75	elite/0	-	0.981924	63.6	71.3	discard	mutate	WINDOW_PATTERN SSSL -> SSL (slight regress)
exp0093	8c67452	elite/0	-	0.981392	63.6	71.3	discard	mutate	WINDOW_PATTERN SSSL -> SSSSL (slight regress)
exp0094	1e59dff	elite/0	-	0.980556	63.6	71.3	discard	mutate	ULR 0.016 -> 0.014 (slight regress)
exp0095	e173d8f	elite/1	elite/0	0.980237	63.6	71.3	elite	crossover	elite/0 + WEIGHT_DECAY 0.2 -> 0.15 (marginal new best)
exp0096	1fe8f25	elite/0	-	0.980544	63.6	71.3	discard	mutate	WEIGHT_DECAY 0.15 -> 0.1 (slight regress, 0.15 optimum)
exp0097	80f8c2e	elite/0	-	0.980011	63.6	71.3	elite	mutate	ve_gate_channels 64 -> 96 (new best with new arch)
exp0098	0887d45	elite/0	-	0.980285	63.6	71.3	discard	mutate	ve_gate_channels 96 -> 128 (slight regress, 96 optimum)
exp0099	834e171	elite/1	elite/0	0.980356	63.6	71.3	discard	crossover	elite/0 + x0_lambdas init 0.1 -> 0.05 (slight regress)
exp0100	148a043	elite/0	-	0.980505	63.6	71.3	discard	mutate	Muon momentum start 0.85 -> 0.80 (slight regress)
exp0101	d840970	elite/0	-	0.979023	58.8	68.2	elite	mutate	DEPTH 12 -> 11, AR 42 -> 46 (NEW BEST, depth=11 wins with new arch)
exp0102	b52a11d	elite/0	-	0.982226	55.0	60.8	discard	mutate	DEPTH 11 -> 10, AR 46 -> 51 (regress, 11 optimum)
exp0103	85ad192	elite/1	elite/0	0.979898	58.8	68.2	discard	crossover	elite/0 + short_window 128 -> 64 with DEPTH=11 (slight regress)
exp0104	9e54769	elite/0	-	0.981912	58.8	68.2	discard	mutate	short_window 128 -> 256 with DEPTH=11 (slight regress)
exp0105	cf89d09	elite/0	-	0.979649	58.8	68.2	discard	mutate	ULR 0.016 -> 0.018 with DEPTH=11 (slight regress)
exp0106	fccd3e2	elite/0	-	0.978846	58.8	68.2	elite	mutate	WARMDOWN 0.8 -> 0.7 with DEPTH=11 (marginal new best)
exp0107	a937a50	elite/0	-	0.978901	58.8	68.2	discard	mutate	WARMDOWN 0.7 -> 0.6 with DEPTH=11 (essentially tied)
exp0108	fa33567	elite/1	elite/0	0.978785	58.8	68.2	elite	crossover	elite/0 + ve_gate_channels 96 -> 128 with DEPTH=11 (marginal new best)
exp0109	eee95d8	elite/0	-	0.979181	58.8	68.2	discard	mutate	ve_gate_channels 128 -> 192 (slight regress, 128 optimum)
exp0110	8530b88	elite/0	-	0.979312	58.8	68.2	discard	mutate	WD 0.15 -> 0.2 with DEPTH=11 (slight regress)
exp0111	faa2642	elite/0	-	0.980174	29.7	68.2	discard	mutate	TOTAL=2**17, DB=64 with DEPTH=11 (slight regress, 2**18 stays)
exp0112	988d748	elite/1	elite/0	0.979543	58.8	68.2	discard	crossover	elite/0 + lm_head init std 0.001 -> 0.005 (slight regress)
